North & South America,USA,ALCO
North & South America,USA,Allis Chalmers
North & South America,USA,Caterpillar
North & South America,USA,Chrysler
North & South America,USA,Cummins
North & South America,USA,Climax Engineering
Europe & Asia,South Korea,Daewoo
North & South America,USA,Detroit
Europe & Asia,Germany,Deutz
North & South America,USA,Fairbanks Morse
North & South America,USA,Ford
North & South America,USA,Hercules
Europe & Asia,Japan,Hino
North & South America,USA,International
Europe & Asia,Japan,Isuzu
Europe & Asia,Italy,Isotta Fraschini
Europe & Asia,Italy,Iveco
Europe & Asia,Spain,Guascor
North & South America,USA,John Deere
North & South America,USA,Kay Industries
North & South America,USA,Kohler
Europe & Asia,Japan,Komatsu
Europe & Asia,Japan,Kubota
North & South America,USA,Lehman
North & South America,USA,Liberty
Europe & Asia,UK,Lister
North & South America,USA,Lugger
North & South America,USA,Mack
Europe & Asia,Germany,Mercedes
Europe & Asia,Japan,Mitsubishi
Europe & Asia,Germany,MTU
Europe & Asia,Japan,Nissan
North & South America,USA,Onan
North & South America,USA,Palmer
Europe & Asia,UK,Perkins
Europe & Asia,Finland,Sisu
North & South America,USA,Superior
North & South America,USA,Waukesha
North & South America,USA,Westerbeke
North & South America,USA,Wisconsin
